Transfer Time,Player,Transfer amount,Seller,Buyer
24/01/2021 - 06:34,Maxi Gómez,32.550.000 €,futmondo,MIKEL POZO
23/01/2021 - 23:44,David Soria,8.342.859 €,ANDEReibar,futmondo
23/01/2021 - 22:48,Pacheco,20.800.002 €,Jon Arrieta,ANDEReibar
23/01/2021 - 21:48,Chukwueze,8.631.695 €,Iñigo Baquedano,futmondo
23/01/2021 - 21:31,Pervis Estupiñan,12.435.072 €,Jorge Solitario,futmondo
23/01/2021 - 16:14,Kang-in Lee,3.008.689 €,Javier Urrestarazu García,futmondo
23/01/2021 - 13:29,Guardiola,4.001.794 €,jose_00014,futmondo
23/01/2021 - 13:29,Diego Rodríguez,1.059.893 €,jose_00014,futmondo
23/01/2021 - 12:44,Óscar Rodríguez,1.016.865 €,Jorge Solitario,futmondo
23/01/2021 - 11:53,Willian José,7.217.371 €,Juanjo,futmondo
23/01/2021 - 06:34,Carlos Fernández,10.100.010 €,futmondo,Jon Arrieta
23/01/2021 - 06:34,Guido Rodríguez,20.100.100 €,futmondo,Jon Arrieta
23/01/2021 - 06:34,Mickaël Malsa,12.268.000 €,futmondo,ANDEReibar
23/01/2021 - 06:34,Carlos Fernández,10.100.010 €,futmondo,Jon Arrieta
23/01/2021 - 06:34,Guido Rodríguez,20.100.100 €,futmondo,Jon Arrieta
23/01/2021 - 06:34,Mikel Merino,47.777.777 €,futmondo,Jon Arrieta
23/01/2021 - 06:34,Saponjic,2.800.000 €,futmondo,Jorge Solitario
23/01/2021 - 06:34,Mikel Merino,47.777.777 €,futmondo,Jon Arrieta
