Player,Seller,Buyer,Date,Time,Transfer
Felipe,2,1,25/01/2021,07:07,12038719
Neva,1,2,25/01/2021,06:35,14209009
Paco Alcácer,1,9,25/01/2021,06:35,46350000
Rubén García,1,9,25/01/2021,06:35,45300000
Battaglia,1,6,25/01/2021,06:35,3800001
Fekir,1,6,25/01/2021,06:35,45285886
Carrillo,0,6,24/01/2021,14:17,1500000
Iñaki Peña,8,1,24/01/2021,09:48,1026491
Nano,8,1,24/01/2021,09:38,1042403
Odegaard,6,1,24/01/2021,09:28,3021591
Guidetti,5,1,24/01/2021,09:12,1068245
Bautista,0,1,24/01/2021,08:49,1069898
Burgos,7,1,24/01/2021,08:24,9285712
Inui,1,2,24/01/2021,06:34,19409009
Sergi Enrich,1,6,24/01/2021,06:34,1643502
Juan Cruz,1,2,24/01/2021,06:34,3109009
Isak,1,8,24/01/2021,06:34,33333334
Giménez,1,3,24/01/2021,06:34,26543210
Zaldúa,1,6,24/01/2021,06:34,1456965
Gorosabel,1,2,24/01/2021,06:34,24309009
Maxi Gómez,1,9,24/01/2021,06:34,32550000
David Soria,7,1,23/01/2021,23:44,8342859
Pacheco,0,7,23/01/2021,22:48,20800002
Chukwueze,2,1,23/01/2021,21:48,8631695
Pervis Estupiñan,8,1,23/01/2021,21:31,12435072
Kang-in Lee,3,1,23/01/2021,16:14,3008689
Guardiola,5,1,23/01/2021,13:29,4001794
Diego Rodríguez,5,1,23/01/2021,13:29,1059893
Óscar Rodríguez,8,1,23/01/2021,12:44,1016865
Willian José,6,1,23/01/2021,11:53,7217371
Carlos Fernández,1,0,23/01/2021,06:34,10100010
Guido Rodríguez,1,0,23/01/2021,06:34,20100100
Mickaël Malsa,1,7,23/01/2021,06:34,12268000
Carlos Fernández,1,0,23/01/2021,06:34,10100010
Guido Rodríguez,1,0,23/01/2021,06:34,20100100
Mikel Merino,1,0,23/01/2021,06:34,47777777
Saponjic,1,8,23/01/2021,06:34,2800000
Mikel Merino,1,0,23/01/2021,06:34,47777777
